Ligands,Receptors,source_combined
AT3G11700,AT4G31370,STRING
AT3G12490,AT5G26340,interactome2.0
AT3G13662,AT1G19780,STRING
AT3G13750,AT1G11260,STRING
AT3G13750,AT2G01950,"IntAct,BIOGRID"
AT3G13784,AT1G11820,STRING
AT3G13784,AT1G66250,STRING
AT3G13784,AT2G01630,STRING
AT3G13784,AT3G13560,STRING
AT3G13784,AT4G31140,STRING
AT3G13784,AT5G58090,STRING
AT3G13790,AT1G11820,STRING
AT3G13790,AT1G66250,STRING
AT3G13790,AT2G01630,STRING
AT3G13790,AT3G13560,STRING
AT3G13790,AT4G31140,STRING
AT3G13790,AT4G34460,BIOGRID
AT3G13790,AT5G58090,STRING
AT3G14210,AT3G26090,BIOGRID
AT3G14220,AT2G01950,"IntAct,BIOGRID"
AT3G14310,AT3G54920,STRING
AT3G15720,AT3G54920,STRING
AT3G16370,AT1G55260,STRING
AT3G16370,AT2G01950,"STRING,IntAct,BIOGRID"
AT3G16370,AT3G43720,STRING
AT3G16570,AT1G30570,STRING
AT3G16570,AT3G46290,STRING
AT3G16570,AT3G51550,"STRING,literature"
AT3G16920,AT5G03170,STRING
AT3G16920,AT5G15630,STRING
AT3G16920,AT5G60490,STRING
AT3G17790,AT1G64060,STRING
AT3G18080,AT1G11820,STRING
AT3G18080,AT1G66250,STRING
AT3G18080,AT2G01630,STRING
AT3G18080,AT3G13560,STRING
AT3G18080,AT4G31140,STRING
AT3G18080,AT5G58090,STRING
AT3G19020,AT2G38940,interactome2.0
AT3G21960,AT1G47670,STRING
AT3G21960,AT1G80830,STRING
AT3G22800,AT2G04780,STRING
AT3G22820,AT1G80080,STRING
AT3G22820,AT2G26330,literature
AT3G22820,AT5G07180,STRING
AT3G22820,AT5G62230,STRING
AT3G23730,AT2G13680,interactome2.0
AT3G23805,AT1G55330,STRING
AT3G23805,AT2G46330,STRING
AT3G23805,AT3G13520,STRING
AT3G23805,AT3G25717,STRING
AT3G23805,AT3G61640,STRING
AT3G23805,AT4G13395,STRING
AT3G23805,AT5G40730,STRING
AT3G24225,AT1G65380,STRING
AT3G24225,AT1G75820,STRING
AT3G24225,AT3G49670,literature
AT3G24225,AT5G13290,STRING
AT3G24225,AT5G65700,"STRING,literature"
AT3G24480,AT2G14890,STRING
AT3G24770,AT1G65380,"STRING,literature"
AT3G24770,AT1G75820,STRING
AT3G24770,AT2G23950,literature
AT3G24770,AT3G49670,literature
AT3G24770,AT4G28650,STRING
AT3G24770,AT5G13290,literature
AT3G24770,AT5G65700,literature
AT3G25170,AT3G04690,STRING
AT3G25170,AT5G16500,STRING
AT3G25655,AT4G28490,"STRING,literature"
AT3G27950,AT1G18880,STRING
AT3G27950,AT3G47960,STRING
AT3G27950,AT5G62680,STRING
AT3G27980,AT1G08430,STRING
AT3G27980,AT1G21240,STRING
AT3G28200,AT5G04930,STRING
AT3G28455,AT1G65380,"STRING,literature"
AT3G28455,AT2G23950,literature
AT3G28455,AT3G49670,literature
AT3G28455,AT5G13290,literature
AT3G28455,AT5G65700,literature
AT3G29780,AT1G23140,STRING
AT3G30350,AT3G24240,literature
AT3G30350,AT4G26540,literature
AT3G30350,AT5G48940,literature
AT3G32980,AT3G26090,BIOGRID
AT3G43270,AT3G54920,STRING
AT3G43270,AT3G57770,STRING
AT3G43270,AT4G16640,STRING
AT3G44735,AT2G02220,STRING
AT3G44735,AT3G25717,STRING
AT3G44735,AT4G13395,STRING
AT3G44735,AT5G53890,STRING
AT3G45940,AT1G11820,STRING
AT3G45940,AT1G32090,STRING
AT3G45940,AT1G54280,STRING
AT3G45940,AT1G64060,STRING
AT3G45940,AT1G66250,STRING
AT3G45940,AT2G01630,STRING
AT3G45940,AT3G13560,STRING
AT3G45940,AT3G13900,STRING
AT3G45940,AT3G25610,STRING
AT3G45940,AT4G04340,STRING
AT3G45940,AT4G31140,STRING
AT3G45940,AT5G58090,STRING
AT3G45960,AT2G22470,STRING
AT3G45960,AT3G61640,STRING
AT3G45960,AT5G64310,STRING
AT3G46120,AT5G43350,STRING
AT3G47380,AT1G18280,STRING
AT3G47400,AT3G54920,STRING
AT3G48460,AT5G64080,STRING
AT3G48610,AT3G15730,STRING
AT3G48610,AT3G47220,STRING
AT3G48610,AT4G35790,STRING
AT3G48610,AT5G09350,STRING
AT3G48610,AT5G58670,STRING
AT3G48610,AT5G64070,STRING
AT3G49120,AT3G26090,BIOGRID
AT3G49780,AT3G25717,STRING
AT3G49780,AT3G61640,STRING
AT3G49780,AT4G13395,STRING
AT3G49780,AT5G40730,STRING
AT3G49960,AT2G20520,STRING
AT3G49960,AT4G34580,STRING
AT3G50220,AT1G21240,IntAct
AT3G50220,AT5G06320,IntAct
AT3G50220,AT5G15630,STRING
AT3G50610,AT1G72180,literature
AT3G50610,AT5G49660,literature
AT3G52370,AT2G04780,STRING
AT3G52370,AT2G24450,STRING
AT3G52370,AT3G60900,STRING
AT3G52370,AT4G12730,STRING
AT3G52370,AT4G31370,STRING
AT3G52370,AT5G03170,STRING
AT3G52820,AT5G58050,STRING
AT3G53230,AT1G24140,STRING
AT3G53230,AT1G55350,STRING
AT3G53230,AT1G59970,STRING
AT3G53230,AT1G70170,STRING
AT3G53230,AT2G45040,STRING
AT3G53230,AT3G09840,STRING
AT3G53230,AT3G28860,STRING
AT3G53230,AT4G16640,STRING
AT3G53230,AT5G10450,plant.MAP
AT3G56310,AT1G59970,STRING
AT3G56310,AT3G09840,STRING
AT3G57260,AT1G21250,STRING
AT3G57260,AT2G32680,STRING
AT3G57260,AT5G08000,STRING
AT3G57510,AT3G54920,STRING
AT3G59010,AT3G61260,STRING
AT3G60650,AT3G24240,literature
AT3G60650,AT4G26540,literature
AT3G60650,AT5G48940,literature
AT3G60730,AT2G40540,STRING
AT3G62680,AT2G20520,STRING
AT3G62680,AT4G34580,STRING
AT3G62680,AT5G49270,STRING
AT3G66658,AT3G01390,STRING
AT4G00190,AT2G27810,STRING
AT4G02270,AT2G20520,STRING
AT4G02270,AT4G19680,STRING
AT4G02270,AT5G49270,STRING
AT4G02320,AT3G54920,STRING
AT4G02330,AT3G54920,STRING
AT4G02350,AT2G45960,BIOGRID
AT4G02350,AT3G09900,STRING
AT4G02350,AT3G11820,STRING
AT4G02350,AT3G46060,STRING
AT4G02350,AT3G53610,STRING
AT4G02350,AT5G03520,STRING
AT4G03210,AT5G13000,STRING
AT4G03210,AT5G36870,STRING
AT4G03930,AT3G54920,STRING
AT4G03930,AT5G46630,STRING
AT4G04460,AT1G24140,STRING
AT4G04460,AT1G55350,STRING
AT4G04460,AT1G59970,STRING
AT4G04460,AT1G70170,STRING
AT4G04460,AT2G45040,STRING
AT4G04460,AT3G09840,STRING
AT4G04460,AT4G16640,STRING
AT4G04460,AT5G10080,STRING
AT4G08485,AT5G10530,STRING
AT4G08770,AT3G26090,BIOGRID
AT4G08950,AT3G26090,BIOGRID
AT4G08950,AT5G66210,STRING
AT4G09647,AT4G05110,STRING
AT4G09647,AT4G05120,STRING
AT4G09647,AT4G05130,STRING
AT4G09647,AT4G05140,STRING
AT4G10510,AT2G20520,STRING
AT4G12420,AT2G04780,STRING
AT4G12420,AT2G45960,BIOGRID
AT4G12420,AT3G24300,BIOGRID
AT4G12420,AT3G53420,BIOGRID
AT4G12420,AT5G07280,STRING
AT4G12420,AT5G15350,STRING
AT4G12420,AT5G55480,STRING
AT4G12420,AT5G60920,STRING
AT4G12960,AT4G12780,STRING
AT4G12960,AT4G38430,STRING
AT4G12970,AT1G62400,STRING
AT4G12970,AT1G80080,STRING
AT4G12970,AT2G26330,literature
AT4G12970,AT5G07180,STRING
AT4G12970,AT5G60880,STRING
AT4G12970,AT5G62230,STRING
AT4G13090,AT1G11820,STRING
AT4G13090,AT1G15520,interactome2.0
AT4G13195,AT1G65380,literature
AT4G13195,AT1G75820,STRING
AT4G13195,AT2G23950,literature
AT4G13195,AT5G13290,literature
AT4G13340,AT4G12730,STRING
AT4G13700,AT1G23140,STRING
AT4G14010,AT1G55330,STRING
AT4G14010,AT2G46330,STRING
AT4G14010,AT3G13520,STRING
AT4G14010,AT3G25717,STRING
AT4G14010,AT3G61640,STRING
AT4G14010,AT4G13395,STRING
AT4G14010,AT5G40730,STRING
AT4G14723,AT1G80080,STRING
AT4G14723,AT2G26330,literature
AT4G14723,AT5G07180,STRING
AT4G14723,AT5G62230,STRING
AT4G14940,AT1G24140,STRING
AT4G14940,AT1G59970,STRING
AT4G14940,AT1G70170,STRING
AT4G14940,AT2G45040,STRING
AT4G14940,AT4G16640,STRING
AT4G15800,AT1G55330,STRING
AT4G15800,AT2G46330,STRING
AT4G15800,AT3G13520,STRING
AT4G15800,AT3G25717,STRING
AT4G15800,AT3G61640,STRING
AT4G15800,AT4G13395,STRING
AT4G15800,AT5G40730,STRING
AT4G16195,AT5G10530,STRING
AT4G16260,AT3G48890,STRING
AT4G16295,AT3G25610,STRING
AT4G18510,AT1G65380,STRING
AT4G18510,AT1G75820,"STRING,BIOGRID,literature"
AT4G18510,AT5G13290,STRING
AT4G18670,AT1G55330,STRING
AT4G18670,AT2G14890,STRING
AT4G18970,AT1G18280,STRING
AT4G19410,AT1G18280,STRING
AT4G19420,AT1G18280,STRING
AT4G20050,AT2G13680,STRING
AT4G20830,AT3G11820,STRING
AT4G20830,AT5G48380,STRING
AT4G21960,AT2G01950,"IntAct,BIOGRID"
AT4G22212,AT4G35580,IntAct
AT4G22214,AT4G35580,IntAct
AT4G23170,AT3G43810,"IntAct,BIOGRID,interactome2.0"
AT4G23170,AT4G11890,STRING
AT4G23170,AT5G37780,"BIOGRID,interactome2.0"
AT4G24972,AT5G07280,literature
AT4G24973,AT5G07280,interactome2.0
AT4G25820,AT2G20520,STRING
AT4G25820,AT4G19680,STRING
AT4G25820,AT4G34580,STRING
AT4G25820,AT5G49270,STRING
AT4G26010,AT1G64060,STRING
AT4G26010,AT4G26080,STRING
AT4G26010,AT5G49270,STRING
AT4G26140,AT1G54280,STRING
AT4G26790,AT1G03550,STRING
AT4G26790,AT1G32050,STRING
AT4G28250,AT3G11820,"IntAct,BIOGRID"
AT4G28780,AT4G35580,"STRING,IntAct"
AT4G28850,AT2G20520,STRING
AT4G28850,AT4G34580,STRING
AT4G29360,AT1G32090,interactome2.0
AT4G29360,AT3G45780,interactome2.0
AT4G29460,AT3G54950,STRING
AT4G30610,AT4G39400,STRING
AT4G33220,AT3G54920,STRING
AT4G36360,AT2G01950,"IntAct,BIOGRID"
AT4G37720,AT2G02220,STRING
AT4G37810,AT5G07180,STRING
AT4G37810,AT5G62230,STRING
AT4G38700,AT2G21120,STRING
AT4G39640,AT3G54820,interactome2.0
AT4G39640,AT5G26340,interactome2.0
AT5G01190,AT5G15630,STRING
AT5G03260,AT4G01010,BIOGRID
AT5G03340,AT1G24140,STRING
AT5G03340,AT1G55350,STRING
AT5G03340,AT1G59970,STRING
AT5G03340,AT1G70170,STRING
AT5G03340,AT2G45040,STRING
AT5G03340,AT3G09840,STRING
AT5G03340,AT3G28860,STRING
AT5G03340,AT4G16640,STRING
AT5G03340,AT5G10450,plant.MAP
AT5G03610,AT5G64080,STRING
AT5G03810,AT4G28490,STRING
AT5G04200,AT1G04750,BIOGRID
AT5G04200,AT2G18960,BIOGRID
AT5G04200,AT3G09840,BIOGRID
AT5G04200,AT3G61260,BIOGRID
AT5G04970,AT3G54920,STRING
AT5G05110,AT4G28280,STRING
AT5G05390,AT2G48130,STRING
AT5G05390,AT3G22600,STRING
AT5G05390,AT4G14815,STRING
AT5G06920,AT1G03870,STRING
AT5G06920,AT2G24450,STRING
AT5G06920,AT3G12660,STRING
AT5G06920,AT3G46550,STRING
AT5G06920,AT4G12730,STRING
AT5G06920,AT4G31370,STRING
AT5G06920,AT5G03170,STRING
AT5G06920,AT5G60490,STRING
AT5G07190,AT1G32090,STRING
AT5G07230,AT3G13220,STRING
AT5G07230,AT3G23870,STRING
AT5G07230,AT5G40260,STRING
AT5G07410,AT3G07160,STRING
AT5G07530,AT3G21630,BIOGRID
AT5G07830,AT1G24140,STRING
AT5G07830,AT1G59970,STRING
AT5G07830,AT1G70170,STRING
AT5G07830,AT2G45040,STRING
AT5G07830,AT4G16640,STRING
AT5G08370,AT3G09840,STRING
AT5G08380,AT3G09840,STRING
AT5G09520,AT2G48130,STRING
AT5G09520,AT2G48140,STRING
AT5G09520,AT3G22600,STRING
AT5G09520,AT4G14815,STRING
AT5G09520,AT5G13900,STRING
AT5G09530,AT2G04780,STRING
AT5G09530,AT2G48130,STRING
AT5G09530,AT3G22600,STRING
AT5G09530,AT4G09030,STRING
AT5G09530,AT4G14815,STRING
AT5G10130,AT5G10150,STRING
AT5G10760,AT1G21250,STRING
AT5G10760,AT2G32680,STRING
AT5G10760,AT4G11890,STRING
AT5G11920,AT1G11820,STRING
AT5G11920,AT1G66250,STRING
AT5G11920,AT2G01630,STRING
AT5G11920,AT3G13560,STRING
AT5G11920,AT4G31140,STRING
AT5G11920,AT5G58090,STRING
AT5G12235,AT3G49670,literature
AT5G12235,AT5G65700,literature
AT5G12370,AT1G17140,STRING
AT5G12370,AT2G38120,STRING
AT5G12370,AT2G45960,BIOGRID
AT5G12370,AT3G09900,"STRING,interactome2.0"
AT5G12370,AT3G11820,STRING
AT5G12370,AT3G46060,STRING
AT5G12370,AT3G53610,STRING
AT5G12370,AT3G54840,STRING
AT5G12370,AT4G35020,"STRING,interactome2.0"
AT5G12370,AT5G03520,STRING
AT5G12370,AT5G09350,interactome2.0
AT5G12990,AT1G65380,"STRING,literature"
AT5G12990,AT1G75820,"STRING,literature"
AT5G12990,AT2G23950,literature
AT5G12990,AT3G49670,literature
AT5G12990,AT3G59420,"STRING,literature"
AT5G12990,AT5G13290,"STRING,literature"
AT5G12990,AT5G65700,literature
AT5G14180,AT2G45960,interactome2.0
AT5G14180,AT3G26090,BIOGRID
AT5G14180,AT3G47960,interactome2.0
AT5G14450,AT5G64080,STRING
AT5G14920,AT2G01950,"IntAct,BIOGRID"
AT5G15230,AT2G01950,"IntAct,BIOGRID"
AT5G17820,AT3G53420,BIOGRID
AT5G19730,AT3G54920,STRING
AT5G19890,AT2G25680,STRING
AT5G20340,AT1G04750,interactome2.0
AT5G20340,AT1G27320,interactome2.0
AT5G20340,AT1G35350,interactome2.0
AT5G20340,AT1G47830,interactome2.0
AT5G20340,AT3G47290,interactome2.0
AT5G20340,AT4G04340,interactome2.0
AT5G22410,AT2G20520,STRING
AT5G22410,AT5G49270,STRING
AT5G23210,AT1G08230,STRING
AT5G23870,AT1G18280,STRING
AT5G24090,AT1G35350,interactome2.0
AT5G24090,AT2G26300,interactome2.0
AT5G24090,AT3G02210,STRING
AT5G24090,AT3G13900,interactome2.0
AT5G24090,AT4G34460,interactome2.0
AT5G24090,AT5G26340,interactome2.0
AT5G28288,AT4G05110,STRING
AT5G28288,AT4G05120,STRING
AT5G28288,AT4G05130,STRING
AT5G28288,AT4G05140,STRING
AT5G34940,AT1G24140,STRING
AT5G34940,AT1G59970,STRING
AT5G34940,AT1G70170,STRING
AT5G34940,AT2G45040,STRING
AT5G34940,AT4G16640,STRING
AT5G37180,AT1G06490,STRING
AT5G37180,AT1G09960,STRING
AT5G38440,AT5G10530,STRING
AT5G38910,AT5G25260,STRING
AT5G39130,AT5G42100,STRING
AT5G39180,AT3G22231,STRING
AT5G39270,AT1G66570,STRING
AT5G39270,AT5G06170,STRING
AT5G39310,AT1G21240,STRING
AT5G39580,AT2G35980,STRING
AT5G39580,AT5G25260,STRING
AT5G43285,AT4G08850,STRING
AT5G43285,AT4G28650,STRING
AT5G43285,AT5G20690,"STRING,literature"
AT5G43510,AT1G79860,STRING
AT5G43510,AT4G08850,"STRING,IntAct,literature"
AT5G43510,AT4G28650,"STRING,IntAct,literature"
AT5G43510,AT5G20690,"STRING,literature"
AT5G43510,AT5G35390,STRING
AT5G43510,AT5G45840,"STRING,IntAct,literature"
AT5G43513,AT4G08850,STRING
AT5G43513,AT4G28650,STRING
AT5G43513,AT5G20690,literature
AT5G43518,AT4G08850,STRING
AT5G43518,AT4G28650,STRING
AT5G43518,AT5G20690,literature
AT5G43525,AT3G57770,STRING
AT5G43525,AT5G20690,STRING
AT5G44420,AT4G35580,"IntAct,BIOGRID"
AT5G45280,AT1G18280,STRING
AT5G45670,AT1G18280,STRING
AT5G45950,AT1G55260,STRING
AT5G48485,AT3G21630,BIOGRID
AT5G48540,AT1G51800,STRING
AT5G49180,AT3G54920,STRING
AT5G49680,AT2G23130,STRING
AT5G50260,AT1G72180,literature
AT5G50260,AT5G49660,literature
AT5G51451,AT3G24240,literature
AT5G51451,AT4G26540,"STRING,literature"
AT5G51451,AT5G48940,literature
AT5G51490,AT3G54920,STRING
AT5G51500,AT3G54920,STRING
AT5G51890,AT3G26090,BIOGRID
AT5G53470,AT1G53910,"STRING,IntAct"
AT5G53470,AT3G15730,"STRING,BIOGRID"
AT5G55590,AT3G54920,STRING
AT5G57530,AT2G20520,STRING
AT5G57530,AT5G49270,STRING
AT5G57540,AT2G20520,STRING
AT5G57540,AT5G49270,STRING
AT5G57560,AT3G26090,BIOGRID
AT5G58480,AT2G35980,STRING
AT5G58480,AT4G26540,STRING
AT5G58650,AT1G72300,STRING
AT5G58650,AT2G02220,STRING
AT5G58650,AT5G53890,STRING
AT5G59090,AT2G32270,STRING
AT5G59090,AT3G22600,STRING
AT5G60020,AT5G03170,STRING
AT5G60020,AT5G15630,STRING
AT5G60640,AT3G09840,plant.MAP
AT5G60805,AT1G12480,STRING
AT5G60805,AT1G62262,STRING
AT5G60805,AT1G62280,STRING
AT5G60810,AT1G34110,literature
AT5G60810,AT3G24240,literature
AT5G60810,AT4G26540,"STRING,literature"
AT5G60810,AT5G48940,literature
AT5G60810,AT5G56040,literature
AT5G61250,AT1G24140,STRING
AT5G61250,AT1G59970,STRING
AT5G61250,AT1G70170,STRING
AT5G61250,AT2G45040,STRING
AT5G61250,AT4G16640,STRING
AT5G61680,AT2G27810,STRING
AT5G63140,AT1G07430,interactome2.0
AT5G63800,AT3G46550,STRING
AT5G64120,AT3G26090,BIOGRID
AT5G64720,AT1G31820,STRING
AT5G64800,AT1G65380,literature
AT5G64800,AT2G23950,literature
AT5G64800,AT5G13290,literature
AT5G64900,AT1G73080,literature
AT5G65730,AT1G11820,STRING
AT5G65870,AT2G02220,STRING
AT5G65870,AT3G25717,STRING
AT5G65870,AT4G13395,STRING
AT5G65870,AT5G53890,STRING
AT5G66815,AT1G72180,STRING
AT5G66815,AT5G49660,"STRING,literature"
AT5G66816,AT1G72180,literature
AT5G66816,AT5G49660,literature
AT5G66818,AT1G72180,literature
AT5G66818,AT5G49660,literature
AT5G66819,AT1G72180,literature
AT5G66819,AT5G49660,literature
AT5G67070,AT1G55910,STRING
AT5G67070,AT2G21480,literature
AT5G67070,AT3G04690,literature
AT5G67070,AT4G39110,literature
AT5G67070,AT5G28680,literature
AT5G67210,AT4G35580,"IntAct,BIOGRID"
AT5G67400,AT2G20520,STRING
AT5G67400,AT3G60280,STRING
AT5G67400,AT4G34580,STRING
