ligand,receptor,source
LOC104644532,LOC101252705,orthologs
LOC101244600,LOC101252705,orthologs
LOC101244241,LOC101252705,orthologs
GP1,LOC104647168,orthologs
AROGP3,LOC104647168,orthologs
AROGP2,LOC104647168,orthologs
LOC543895,TomloxE,orthologs
LOC101246396,TomloxE,orthologs
LOC101246396,TomloxE,orthologs
alpha-DOX2,TomloxE,orthologs
LOC101266255,TFT1,orthologs
LOC101266255,TFT1,orthologs
LOC101266129,TFT1,orthologs
LOC101266129,TFT1,orthologs
LOC101246391,TFT1,orthologs
LOC101246391,TFT1,orthologs
LOC112940027,Sl3-MMP,orthologs
LOC112940027,Sl3-MMP,orthologs
LOC101266255,Sl3-MMP,orthologs
LOC101266255,Sl3-MMP,orthologs
LOC101266129,Sl3-MMP,orthologs
LOC101266129,Sl3-MMP,orthologs
LOC101265968,Sl3-MMP,orthologs
LOC101265968,Sl3-MMP,orthologs
LOC101265918,Sl3-MMP,orthologs
LOC101265918,Sl3-MMP,orthologs
LOC101265918,Sl3-MMP,orthologs
LOC101265918,Sl3-MMP,orthologs
LOC101259643,Sl3-MMP,orthologs
LOC101259643,Sl3-MMP,orthologs
LOC101258669,Sl3-MMP,orthologs
LOC101258669,Sl3-MMP,orthologs
LOC101258638,Sl3-MMP,orthologs
LOC101258638,Sl3-MMP,orthologs
LOC101257181,Sl3-MMP,orthologs
LOC101257181,Sl3-MMP,orthologs
LOC101254423,Sl3-MMP,orthologs
LOC101254423,Sl3-MMP,orthologs
LOC101254423,Sl3-MMP,orthologs
LOC101254423,Sl3-MMP,orthologs
LOC101253862,Sl3-MMP,orthologs
LOC101253862,Sl3-MMP,orthologs
LOC101249724,Sl3-MMP,orthologs
LOC101249724,Sl3-MMP,orthologs
LOC101246391,Sl3-MMP,orthologs
LOC101246391,Sl3-MMP,orthologs
GGH1,Sl3-MMP,orthologs
GGH1,Sl3-MMP,orthologs
LOC101265285,Sip1,orthologs
Sl3-MMP,SERK1,orthologs
Sl3-MMP,SERK1,orthologs
LOC543632,SDH,orthologs
LOC112940027,RBOH1,orthologs
LOC101266294,RBOH1,orthologs
LOC101266294,RBOH1,orthologs
LOC101265918,RBOH1,orthologs
LOC101265918,RBOH1,orthologs
LOC101256971,RBOH1,orthologs
LOC101249252,RBOH1,orthologs
LOC101244004,RBOH1,orthologs
Sl3-MMP,PRK3,orthologs
Sl3-MMP,PRK3,orthologs
Sl3-MMP,PRK2,orthologs
Sl3-MMP,PRK2,orthologs
Sl3-MMP,PRK1,orthologs
Sl3-MMP,PRK1,orthologs
LOC101245017,PORK1,orthologs
LOC101264105,PLDa1,orthologs
LOC101259566,PLDa1,orthologs
LOC101252788,PLDa1,orthologs
LOC101248078,PLDa1,orthologs
LOC101244700,PLDa1,orthologs
LOC101268446,PIP1-5,orthologs
LOC101268139,PIP1-5,orthologs
LOC101263181,PIP1-5,orthologs
LOC101254426,PIP1-5,orthologs
LOC101252859,PIP1-5,orthologs
LOC101250773,PIP1-5,orthologs
LOC101249884,PIP1-5,orthologs
LOC101247352,PIP1-5,orthologs
LOC104645788,PIN2,orthologs
LOC101266255,MDR1,orthologs
LOC101266129,MDR1,orthologs
LOC101246391,MDR1,orthologs
LOC543895,loxD,orthologs
LOC101246396,loxD,orthologs
LOC101246396,loxD,orthologs
alpha-DOX2,loxD,orthologs
LOC543895,LOXB,orthologs
LOC543895,LOXB,orthologs
LOC101246396,LOXB,orthologs
LOC101246396,LOXB,orthologs
LOC101246396,LOXB,orthologs
LOC101246396,LOXB,orthologs
alpha-DOX2,LOXB,orthologs
alpha-DOX2,LOXB,orthologs
LOC543895,LOX1.1,orthologs
LOC101246396,LOX1.1,orthologs
LOC101246396,LOX1.1,orthologs
alpha-DOX2,LOX1.1,orthologs
LOC101267502,LOC543924,orthologs
LOC101265881,LOC543924,orthologs
LOC101265819,LOC543924,orthologs
LOC101264183,LOC543924,orthologs
LOC101262133,LOC543924,orthologs
LOC101262050,LOC543924,orthologs
LOC101260714,LOC543924,orthologs
LOC101256677,LOC543924,orthologs
LOC101256677,LOC543924,orthologs
LOC101256039,LOC543924,orthologs
LOC101252775,LOC543924,orthologs
LOC101250243,LOC543924,orthologs
LOC101250057,LOC543924,orthologs
LOC101248858,LOC543924,orthologs
LOC101248858,LOC543924,orthologs
LOC101248858,LOC543924,orthologs
LOC101248858,LOC543924,orthologs
LOC101248854,LOC543924,orthologs
LOC101247318,LOC543924,orthologs
Hsp90-1,LOC543924,orthologs
HSC80,LOC543924,orthologs
GPA1,LOC543924,orthologs
GPA1,LOC543924,orthologs
LOC101251304,LOC543802,orthologs
LOC101244074,LOC543802,orthologs
LOC101247181,LOC543598,orthologs
LOC101247181,LOC543597,orthologs
LOC101247181,LOC543597,orthologs
LOC101253289,LOC112941374,orthologs
LOC101253289,LOC112941374,orthologs
EXP2,LOC112941374,orthologs
EXP2,LOC112941374,orthologs
LOC101253289,LOC112940306,orthologs
LOC101253289,LOC112940306,orthologs
EXP2,LOC112940306,orthologs
EXP2,LOC112940306,orthologs
PSK4,LOC112940097,orthologs
PSK4,LOC112940097,orthologs
PSK3,LOC112940097,orthologs
PSK2,LOC112940097,orthologs
PSK2,LOC112940097,orthologs
LOC101250742,LOC112940097,orthologs
LOC101250742,LOC112940097,orthologs
EXLA1,LOC112940097,orthologs
Sl3-MMP,LOC109120363,orthologs
Sl3-MMP,LOC109120363,orthologs
LOC543895,LOC107648852,orthologs
LOC101246396,LOC107648852,orthologs
LOC101246396,LOC107648852,orthologs
alpha-DOX2,LOC107648852,orthologs
Sl3-MMP,LOC104649482,orthologs
Sl3-MMP,LOC104649482,orthologs
Sl3-MMP,LOC104649482,orthologs
Sl3-MMP,LOC104649482,orthologs
Sl3-MMP,LOC104649482,orthologs
Sl3-MMP,LOC104649482,orthologs
mpka1;1,LOC104649482,orthologs
mpka1;1,LOC104649482,orthologs
mpka1;1,LOC104649482,orthologs
mpka1;1,LOC104649482,orthologs
mpka1;1,LOC104649482,orthologs
mpka1;1,LOC104649482,orthologs
MPK9,LOC104649482,orthologs
MPK9,LOC104649482,orthologs
MPK9,LOC104649482,orthologs
MPK3,LOC104649482,orthologs
MPK3,LOC104649482,orthologs
MPK3,LOC104649482,orthologs
MAPK5,LOC104649482,orthologs
MAPK5,LOC104649482,orthologs
MAPK5,LOC104649482,orthologs
MAPK4,LOC104649482,orthologs
MAPK4,LOC104649482,orthologs
MAPK4,LOC104649482,orthologs
LOC104649482,LOC104649482,orthologs
LOC104649482,LOC104649482,orthologs
LOC104649482,LOC104649482,orthologs
LOC104649482,LOC104649482,orthologs
LOC104649482,LOC104649482,orthologs
LOC104649482,LOC104649482,orthologs
LOC101266778,LOC104649482,orthologs
LOC101266778,LOC104649482,orthologs
LOC101266127,LOC104649482,orthologs
LOC101266127,LOC104649482,orthologs
LOC101266127,LOC104649482,orthologs
LOC101264890,LOC104649482,orthologs
LOC101264890,LOC104649482,orthologs
LOC101264890,LOC104649482,orthologs
LOC101264183,LOC104649482,orthologs
LOC101264183,LOC104649482,orthologs
LOC101264183,LOC104649482,orthologs
LOC101262050,LOC104649482,orthologs
LOC101262050,LOC104649482,orthologs
LOC101262050,LOC104649482,orthologs
LOC101262003,LOC104649482,orthologs
LOC101262003,LOC104649482,orthologs
LOC101262003,LOC104649482,orthologs
LOC101259591,LOC104649482,orthologs
LOC101259591,LOC104649482,orthologs
LOC101259591,LOC104649482,orthologs
LOC101258128,LOC104649482,orthologs
LOC101258128,LOC104649482,orthologs
LOC101258128,LOC104649482,orthologs
LOC101256039,LOC104649482,orthologs
LOC101256039,LOC104649482,orthologs
LOC101256039,LOC104649482,orthologs
LOC101251815,LOC104649482,orthologs
LOC101251815,LOC104649482,orthologs
LOC101251815,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101248858,LOC104649482,orthologs
LOC101243937,LOC104649482,orthologs
LOC101243937,LOC104649482,orthologs
LOC101243937,LOC104649482,orthologs
Hsp90-1,LOC104649482,orthologs
Hsp90-1,LOC104649482,orthologs
Hsp90-1,LOC104649482,orthologs
HSC80,LOC104649482,orthologs
HSC80,LOC104649482,orthologs
HSC80,LOC104649482,orthologs
LOC101263581,LOC104647475,orthologs
LOC101251598,LOC104647475,orthologs
LOC101248013,LOC104646598,orthologs
PSK4,LOC104646517,orthologs
PSK4,LOC104646517,orthologs
PSK3,LOC104646517,orthologs
PSK3,LOC104646517,orthologs
PSK2,LOC104646517,orthologs
PSK2,LOC104646517,orthologs
LOC101250742,LOC104646517,orthologs
LOC101250742,LOC104646517,orthologs
Sl3-MMP,LOC104645871,orthologs
Sl3-MMP,LOC104645871,orthologs
Sl3-MMP,LOC104645871,orthologs
Sl3-MMP,LOC104645871,orthologs
LOC101253289,LOC104645438,orthologs
EXP2,LOC104645438,orthologs
LOC101252788,LOC104644270,orthologs
Sl3-MMP,LOC101268878,orthologs
Sl3-MMP,LOC101268878,orthologs
Sl3-MMP,LOC101268851,orthologs
Sl3-MMP,LOC101268851,orthologs
TMP,LOC101268425,orthologs
LOC101266255,LOC101268350,orthologs
LOC101266129,LOC101268350,orthologs
LOC101246391,LOC101268350,orthologs
LOC101263181,LOC101268327,orthologs
LOC101250773,LOC101268327,orthologs
LOC101249884,LOC101268327,orthologs
TSW12,LOC101268192,orthologs
ltpg1,LOC101268192,orthologs
LOC101266879,LOC101268192,orthologs
LOC101266573,LOC101268192,orthologs
LOC101266080,LOC101268192,orthologs
LOC101266080,LOC101268192,orthologs
LOC101265188,LOC101268192,orthologs
LE16,LOC101268192,orthologs
Sl3-MMP,LOC101268082,orthologs
Sl3-MMP,LOC101268082,orthologs
LOC101257528,LOC101267955,orthologs
LOC101257528,LOC101267955,orthologs
LOC101257528,LOC101267955,orthologs
LOC101257528,LOC101267955,orthologs
LOC101244365,LOC101267920,orthologs
LOC101265606,LOC101267850,orthologs
LOC101264289,LOC101267850,orthologs
LOC101264289,LOC101267850,orthologs
LOC101253729,LOC101267850,orthologs
LOC101253431,LOC101267850,orthologs
LOC101253136,LOC101267850,orthologs
LOC101249763,LOC101267850,orthologs
Wiv-1,LOC101267699,orthologs
Wiv-1,LOC101267699,orthologs
LOC543698,LOC101267699,orthologs
LOC101268695,LOC101267699,orthologs
LOC101259900,LOC101267699,orthologs
LOC101258714,LOC101267699,orthologs
LOC101246223,LOC101267699,orthologs
LIN7,LOC101267699,orthologs
LIN7,LOC101267699,orthologs
LOC101267616,LOC101267693,orthologs
LOC101263181,LOC101267693,orthologs
LOC101250773,LOC101267693,orthologs
LOC101249884,LOC101267693,orthologs
LOC101267900,LOC101267672,orthologs
LOC101266830,LOC101267672,orthologs
LOC101266584,LOC101267672,orthologs
LOC101259149,LOC101267672,orthologs
LOC101258820,LOC101267672,orthologs
LOC101257887,LOC101267672,orthologs
LOC101255596,LOC101267672,orthologs
LOC101253311,LOC101267672,orthologs
LOC101251829,LOC101267672,orthologs
LOC101250647,LOC101267672,orthologs
LOC101244631,LOC101267672,orthologs
LOC101253289,LOC101267669,orthologs
EXP2,LOC101267669,orthologs
LOC101259566,LOC101267502,orthologs
LOC101268446,LOC101267384,orthologs
LOC101262977,LOC101267281,orthologs
LOC101262977,LOC101267281,orthologs
LOC101262618,LOC101267281,orthologs
LOC101262618,LOC101267281,orthologs
LOC101262618,LOC101267281,orthologs
LOC101262425,LOC101267281,orthologs
LOC101261512,LOC101267281,orthologs
LOC101258916,LOC101267281,orthologs
LOC101257887,LOC101267281,orthologs
LOC101254671,LOC101267281,orthologs
LOC101253411,LOC101267281,orthologs
LOC101253311,LOC101267281,orthologs
LOC101251829,LOC101267281,orthologs
LOC101251481,LOC101267281,orthologs
LOC101251392,LOC101267281,orthologs
LOC101250647,LOC101267281,orthologs
LOC101250120,LOC101267281,orthologs
LOC101247922,LOC101267281,orthologs
LOC101247502,LOC101267281,orthologs
LOC101247352,LOC101267281,orthologs
LOC101245661,LOC101267281,orthologs
LOC100147721,LOC101267281,orthologs
LOC101261405,LOC101267186,orthologs
Sl3-MMP,LOC101267167,orthologs
Sl3-MMP,LOC101267167,orthologs
LOC101268139,LOC101267153,orthologs
LOC101266933,LOC101267153,orthologs
LOC543987,LOC101266944,orthologs
LOC101265270,LOC101266927,orthologs
LOC100750252,LOC101266927,orthologs
PR1a2,LOC101266887,orthologs
LOC104645788,LOC101266793,orthologs
LOC101250409,LOC101266793,orthologs
LOC101264237,LOC101266718,orthologs
LOC101257060,LOC101266718,orthologs
PR1a2,LOC101266705,orthologs
LOC101268446,LOC101266650,orthologs
LOC104649377,LOC101266437,orthologs
LOC104649377,LOC101266437,orthologs
LOC101248013,LOC101266437,orthologs
Sl3-MMP,LOC101266357,orthologs
Sl3-MMP,LOC101266357,orthologs
LOC104645568,LOC101266357,orthologs
LOC101253754,LOC101266319,orthologs
LOC112940027,LOC101266255,orthologs
LOC101266129,LOC101266255,orthologs
LOC101265968,LOC101266255,orthologs
LOC101265918,LOC101266255,orthologs
LOC101265918,LOC101266255,orthologs
LOC101259643,LOC101266255,orthologs
LOC101258317,LOC101266255,orthologs
LOC101257830,LOC101266255,orthologs
LOC101257269,LOC101266255,orthologs
LOC101249542,LOC101266255,orthologs
LOC101246391,LOC101266255,orthologs
LOC101245092,LOC101266255,orthologs
GGH1,LOC101266255,orthologs
AGAL,LOC101266255,orthologs
LOC112940027,LOC101266129,orthologs
LOC101266255,LOC101266129,orthologs
LOC101265968,LOC101266129,orthologs
LOC101265918,LOC101266129,orthologs
LOC101265918,LOC101266129,orthologs
LOC101259643,LOC101266129,orthologs
LOC101258317,LOC101266129,orthologs
LOC101257830,LOC101266129,orthologs
LOC101257269,LOC101266129,orthologs
LOC101249542,LOC101266129,orthologs
LOC101246391,LOC101266129,orthologs
LOC101245092,LOC101266129,orthologs
GGH1,LOC101266129,orthologs
AGAL,LOC101266129,orthologs
Sl3-MMP,LOC101266127,orthologs
Sl3-MMP,LOC101266127,orthologs
mpka1;1,LOC101266127,orthologs
MPK9,LOC101266127,orthologs
MPK3,LOC101266127,orthologs
MAPK5,LOC101266127,orthologs
MAPK4,LOC101266127,orthologs
LOC543895,LOC101266127,orthologs
LOC104649482,LOC101266127,orthologs
LOC104649482,LOC101266127,orthologs
LOC104649482,LOC101266127,orthologs
LOC101262050,LOC101266127,orthologs
LOC101262003,LOC101266127,orthologs
LOC101259591,LOC101266127,orthologs
LOC101250742,LOC101266127,orthologs
LOC101248858,LOC101266127,orthologs
LOC101248858,LOC101266127,orthologs
LOC101248858,LOC101266127,orthologs
LOC101248858,LOC101266127,orthologs
LOC101246396,LOC101266127,orthologs
LOC101246396,LOC101266127,orthologs
alpha-DOX2,LOC101266127,orthologs
LOC101247960,LOC101266082,orthologs
LOC101246033,LOC101266082,orthologs
LOC101258355,LOC101266075,orthologs
LOC101257899,LOC101266075,orthologs
LOC101257797,LOC101266075,orthologs
LOC101253344,LOC101266075,orthologs
LOC101261631,LOC101265972,orthologs
LOC101255239,LOC101265972,orthologs
Sl3-MMP,LOC101265955,orthologs
Sl3-MMP,LOC101265955,orthologs
Sl3-MMP,LOC101265955,orthologs
Sl3-MMP,LOC101265955,orthologs
LOC104647586,LOC101265885,orthologs
LOC101266126,LOC101265885,orthologs
LOC101252581,LOC101265885,orthologs
LOC101252581,LOC101265885,orthologs
LOC101252581,LOC101265885,orthologs
LOC101250687,LOC101265885,orthologs
LOC101261241,LOC101265852,orthologs
LOC101255057,LOC101265779,orthologs
LOC101264237,LOC101265539,orthologs
LOC101264237,LOC101265539,orthologs
LOC101264237,LOC101265539,orthologs
LOC101257060,LOC101265539,orthologs
LOC101257060,LOC101265539,orthologs
LOC101257060,LOC101265539,orthologs
LOC101247352,LOC101265405,orthologs
LOC101251019,LOC101265383,orthologs
LOC101250243,LOC101265364,orthologs
LOC101247318,LOC101265364,orthologs
Sl3-MMP,LOC101265354,orthologs
Sl3-MMP,LOC101265354,orthologs
LTC,LOC101265342,orthologs
LTC,LOC101265288,orthologs
LOC101255893,LOC101265189,orthologs
Sl3-MMP,LOC101265060,orthologs
Sl3-MMP,LOC101265060,orthologs
Sl3-MMP,LOC101264890,orthologs
Sl3-MMP,LOC101264890,orthologs
mpka1;1,LOC101264890,orthologs
mpka1;1,LOC101264890,orthologs
MPK9,LOC101264890,orthologs
MPK3,LOC101264890,orthologs
MAPK5,LOC101264890,orthologs
MAPK4,LOC101264890,orthologs
LOC104649482,LOC101264890,orthologs
LOC104649482,LOC101264890,orthologs
LOC104649482,LOC101264890,orthologs
LOC101266127,LOC101264890,orthologs
LOC101264183,LOC101264890,orthologs
LOC101262050,LOC101264890,orthologs
LOC101262003,LOC101264890,orthologs
LOC101259591,LOC101264890,orthologs
LOC101258128,LOC101264890,orthologs
LOC101256039,LOC101264890,orthologs
LOC101251815,LOC101264890,orthologs
LOC101250742,LOC101264890,orthologs
LOC101248858,LOC101264890,orthologs
LOC101248858,LOC101264890,orthologs
LOC101248858,LOC101264890,orthologs
LOC101248858,LOC101264890,orthologs
LOC101243937,LOC101264890,orthologs
Hsp90-1,LOC101264890,orthologs
HSC80,LOC101264890,orthologs
LOC101268446,LOC101264708,orthologs
LOC101268139,LOC101264708,orthologs
LOC101263181,LOC101264708,orthologs
LOC101254426,LOC101264708,orthologs
LOC101252859,LOC101264708,orthologs
LOC101250773,LOC101264708,orthologs
LOC101249884,LOC101264708,orthologs
LOC101247352,LOC101264708,orthologs
LOC101255648,LOC101264693,orthologs
LOC101251815,LOC101264649,orthologs
LOC101260989,LOC101264608,orthologs
LOC101268139,LOC101264577,orthologs
LOC101266933,LOC101264577,orthologs
LOC101257528,LOC101264565,orthologs
LOC101257528,LOC101264565,orthologs
LOC101257528,LOC101264565,orthologs
LOC101257528,LOC101264565,orthologs
LOC101257528,LOC101264565,orthologs
LOC101257528,LOC101264565,orthologs
TSW12,LOC101264489,orthologs
ltpg1,LOC101264489,orthologs
LOC101266879,LOC101264489,orthologs
LOC101266573,LOC101264489,orthologs
LOC101266080,LOC101264489,orthologs
LOC101266080,LOC101264489,orthologs
LOC101265188,LOC101264489,orthologs
LE16,LOC101264489,orthologs
LOC101264237,LOC101264391,orthologs
LOC101264237,LOC101264391,orthologs
LOC101264237,LOC101264391,orthologs
LOC101258669,LOC101264391,orthologs
LOC101258669,LOC101264391,orthologs
LOC101258669,LOC101264391,orthologs
LOC101264571,LOC101264237,orthologs
LOC101264289,LOC101264237,orthologs
LOC101260592,LOC101264237,orthologs
LOC101257528,LOC101264237,orthologs
XTH16,LOC101263837,orthologs
LOC543637,LOC101263837,orthologs
LOC101265794,LOC101263837,orthologs
LOC101256574,LOC101263837,orthologs
LOC101260989,LOC101263759,orthologs
LOC101255057,LOC101263759,orthologs
LOC101261631,LOC101263615,orthologs
LOC101255239,LOC101263615,orthologs
LOC543895,LOC101263535,orthologs
LOC101246396,LOC101263535,orthologs
LOC101246396,LOC101263535,orthologs
alpha-DOX2,LOC101263535,orthologs
LOC101248013,LOC101263386,orthologs
Sl3-MMP,LOC101263367,orthologs
Sl3-MMP,LOC101263367,orthologs
LOC101268282,LOC101263242,orthologs
LOC101268282,LOC101263242,orthologs
LOC101267502,LOC101263242,orthologs
LOC101267502,LOC101263242,orthologs
LOC101265881,LOC101263242,orthologs
LOC101265881,LOC101263242,orthologs
LOC101265819,LOC101263242,orthologs
LOC101265819,LOC101263242,orthologs
LOC101264183,LOC101263242,orthologs
LOC101264183,LOC101263242,orthologs
LOC101262133,LOC101263242,orthologs
LOC101262133,LOC101263242,orthologs
LOC101262050,LOC101263242,orthologs
LOC101262050,LOC101263242,orthologs
LOC101260714,LOC101263242,orthologs
LOC101260714,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256039,LOC101263242,orthologs
LOC101256039,LOC101263242,orthologs
LOC101252775,LOC101263242,orthologs
LOC101252775,LOC101263242,orthologs
LOC101252428,LOC101263242,orthologs
LOC101252428,LOC101263242,orthologs
LOC101250243,LOC101263242,orthologs
LOC101250243,LOC101263242,orthologs
LOC101250057,LOC101263242,orthologs
LOC101250057,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248854,LOC101263242,orthologs
LOC101248854,LOC101263242,orthologs
LOC101247318,LOC101263242,orthologs
LOC101247318,LOC101263242,orthologs
LOC101245699,LOC101263242,orthologs
LOC101245699,LOC101263242,orthologs
Hsp90-1,LOC101263242,orthologs
Hsp90-1,LOC101263242,orthologs
HSC80,LOC101263242,orthologs
HSC80,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
LOC101260664,LOC101263187,orthologs
LOC101249056,LOC101263187,orthologs
LOC101247352,LOC101263187,orthologs
LOC101251815,LOC101263163,orthologs
LOC101264237,LOC101263126,orthologs
sph1,LOC101263086,orthologs
sph1,LOC101263086,orthologs
LOC104647673,LOC101263086,orthologs
LOC104647673,LOC101263086,orthologs
LOC104647673,LOC101263086,orthologs
LOC101254076,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
Cel8,LOC101263086,orthologs
LOC543895,LOC101263024,orthologs
LOC101246396,LOC101263024,orthologs
LOC101246396,LOC101263024,orthologs
alpha-DOX2,LOC101263024,orthologs
